Month,100 metres,400 metres,10000 metres
1931-10,21.103,18.8,12.299
1931-11,21.103,18.8,12.299
1931-12,21.103,18.8,12.299
1932-01,21.103,18.8,12.299
1932-02,21.103,18.8,12.299
1932-03,21.103,18.8,12.299
1932-04,21.103,18.8,12.299
1932-05,21.103,18.8,12.299
1932-06,21.103,18.8,12.299
1932-07,21.509,18.8,12.349
1932-08,21.718,19.37,
1932-09,21.718,19.37,12.349
1932-10,21.718,19.37,12.349
1932-11,21.718,19.37,12.349
1932-12,21.718,19.37,12.349
1933-01,21.718,19.37,12.349
1933-02,21.718,19.37,12.349
1933-03,21.718,19.37,12.349
1933-04,21.718,19.37,12.349
1933-05,21.718,19.37,12.349
1933-06,21.718,19.37,12.349
1933-07,21.718,19.37,12.349
1933-08,21.718,19.37,12.349
1933-09,21.718,19.37,12.349
1933-10,21.718,19.37,12.349
1933-11,21.718,19.37,12.349
1933-12,21.718,19.37,12.349
1934-01,21.718,19.37,12.349
1934-02,21.718,19.37,12.349
1934-03,21.718,19.37,12.349
1934-04,21.718,19.37,12.349
1934-05,21.718,19.37,12.349
1934-06,21.718,19.37,12.349
1934-07,21.718,19.37,12.349
1934-08,21.718,19.37,12.349
1934-09,21.718,19.37,12.349
1934-10,21.718,19.37,12.349
1934-11,21.718,19.37,12.349
1934-12,21.718,19.37,12.349
1935-01,21.718,19.37,12.349
1935-02,21.718,19.37,12.349
1935-03,21.718,19.37,12.349
1935-04,21.718,19.37,12.349
1935-05,21.718,19.37,12.349
1935-06,21.718,19.37,12.349
1935-07,21.718,19.37,12.349
1935-08,21.718,19.37,12.349
1935-09,21.718,19.37,12.349
1935-10,21.718,19.37,12.349
1935-11,21.718,19.37,12.349
1935-12,21.718,19.37,12.349
1936-01,21.718,19.37,12.349
1936-02,21.718,19.37,12.349
1936-03,21.718,19.37,12.349
1936-04,21.718,19.37,12.349
1936-05,21.718,19.37,12.349
1936-06,21.718,19.37,12.349
1936-07,21.718,19.37,12.349
1936-08,21.718,19.37,12.349
1936-09,21.718,19.37,12.349
1936-10,21.718,19.37,12.349
1936-11,21.718,19.37,12.349
1936-12,21.718,19.37,12.349
1937-01,21.718,19.37,12.349
1937-02,21.718,19.37,12.349
1937-03,21.718,19.37,12.349
1937-04,21.718,19.37,12.349
1937-05,21.718,19.37,12.349
1937-06,21.718,19.37,12.349
1937-07,21.718,19.37,12.349
1937-08,21.718,19.37,12.349
1937-09,21.718,19.37,12.349
1937-10,21.718,19.37,12.349
1937-11,21.718,19.37,12.349
1937-12,21.718,19.37,12.349
1938-01,21.718,19.37,12.349
1938-02,21.718,19.37,12.349
1938-03,21.718,19.37,12.349
1938-04,21.718,19.37,12.349
1938-05,21.718,19.37,12.349
1938-06,21.718,19.37,12.349
1938-07,21.718,19.37,12.349
1938-08,21.718,19.37,12.349
1938-09,21.718,19.37,12.349
1938-10,21.718,19.37,12.349
1938-11,21.718,19.37,12.349
1938-12,21.718,19.37,12.349
1939-01,21.718,19.37,12.349
1939-02,21.718,19.37,12.349
1939-03,21.718,19.37,12.349
1939-04,21.718,19.37,12.349
1939-05,21.718,19.37,12.349
1939-06,21.718,19.37,12.349
1939-07,21.718,19.37,12.349
1939-08,21.718,19.37,12.349
1939-09,21.718,19.37,12.349
1939-10,21.718,19.37,12.349
1939-11,21.718,19.37,12.349
1939-12,21.718,19.37,12.349
1940-01,21.718,19.37,12.349
1940-02,21.718,19.37,12.349
1940-03,21.718,19.37,12.349
1940-04,21.718,19.37,12.349
1940-05,21.718,19.37,12.349
1940-06,21.718,19.37,12.349
1940-07,21.718,19.37,12.349
1940-08,21.718,19.37,12.349
1940-09,21.718,19.37,12.349
1940-10,21.718,19.37,12.349
1940-11,21.718,19.37,12.349
